Location,Variant,Time,PopTotal
Afghanistan,Medium,2020,38928.341
Afghanistan,Medium,2100,74937.961
Afghanistan,High,2020,38928.341
Afghanistan,High,2100,108985.512
Afghanistan,Low,2020,38928.341
Afghanistan,Low,2100,49302.657
Afghanistan,Constant fertility,2020,38928.341
Afghanistan,Constant fertility,2100,333229.266
Afghanistan,Instant replacement,2020,38928.341
Afghanistan,Instant replacement,2100,62501.612
Afghanistan,Zero migration,2020,38928.341
Afghanistan,Zero migration,2100,83722.266
Afghanistan,Constant mortality,2020,38928.341
Afghanistan,Constant mortality,2100,58288.362
Afghanistan,No change,2020,38928.341
Afghanistan,No change,2100,270695.409
Afghanistan,Momentum,2020,38928.341
Afghanistan,Momentum,2100,63882.117
Afghanistan,Median PI,2020,38928.341
Afghanistan,Median PI,2100,74937.961
Afghanistan,Upper 80 PI,2020,38928.341
Afghanistan,Upper 80 PI,2100,107403.725
Afghanistan,Lower 80 PI,2020,38928.341
Afghanistan,Lower 80 PI,2100,50216.628
Afghanistan,Upper 95 PI,2020,38928.341
Afghanistan,Upper 95 PI,2100,127925.989
Afghanistan,Lower 95 PI,2020,38928.341
Afghanistan,Lower 95 PI,2100,39902.101
Africa,Medium,2020,1340598.113
Africa,Medium,2100,4280127.131
Africa,High,2020,1340598.113
Africa,High,2100,5878418.732
Africa,Low,2020,1340598.113
Africa,Low,2100,3031039.731
Africa,Constant fertility,2020,1340598.113
Africa,Constant fertility,2100,12677030.78
Africa,Instant replacement,2020,1340598.113
Africa,Instant replacement,2100,2258739.526
Africa,Zero migration,2020,1340598.113
Africa,Zero migration,2100,4338859.45
Africa,Constant mortality,2020,1340598.113
Africa,Constant mortality,2100,3324932.197
Africa,No change,2020,1340598.113
Africa,No change,2100,9903404.235
Africa,Momentum,2020,1340598.113
Africa,Momentum,2100,2044530.98
Africa,Median PI,2020,1340598.113
Africa,Median PI,2100,4280127.131
Africa,Upper 80 PI,2020,1340598.113
Africa,Upper 80 PI,2100,4950494.945
Africa,Lower 80 PI,2020,1340598.113
Africa,Lower 80 PI,2100,3706188.177
Africa,Upper 95 PI,2020,1340598.113
Africa,Upper 95 PI,2100,5329577.101
Africa,Lower 95 PI,2020,1340598.113
Africa,Lower 95 PI,2100,3435359.626
African Group,Medium,2020,1338826.591
African Group,Medium,2100,4277091.922
African Union,Medium,2020,1327533.14
African Union,Medium,2100,4227571.623
African Union: Central Africa,Medium,2020,146728.857
African Union: Central Africa,Medium,2100,557777.43
African Union: Eastern Africa,Medium,2020,392563.672
African Union: Eastern Africa,Medium,2100,1238915.884
African Union: Northern Africa,Medium,2020,207032.899
African Union: Northern Africa,Medium,2100,379579.868
African Union: Southern Africa,Medium,2020,184002.188
African Union: Southern Africa,Medium,2100,584572.002
African Union: Western Africa,Medium,2020,397205.524
African Union: Western Africa,Medium,2100,1466726.439
"African, Caribbean and Pacific (ACP) Group of States",Medium,2020,1179679.906
"African, Caribbean and Pacific (ACP) Group of States",Medium,2100,3949868.942
Albania,Medium,2020,2877.8
Albania,Medium,2100,1088.338
Albania,High,2020,2877.8
Albania,High,2100,1934.497
Albania,Low,2020,2877.8
Albania,Low,2100,511.866
Albania,Constant fertility,2020,2877.8
Albania,Constant fertility,2100,1226.647
Albania,Instant replacement,2020,2877.8
Albania,Instant replacement,2100,2164.557
Albania,Zero migration,2020,2877.8
Albania,Zero migration,2100,1967.117
Albania,Constant mortality,2020,2877.8
Albania,Constant mortality,2100,879.17
Albania,No change,2020,2877.8
Albania,No change,2100,1009.579
Albania,Momentum,2020,2877.8
Albania,Momentum,2100,2950.009
Albania,Median PI,2020,2877.8
Albania,Median PI,2100,1088.338
Albania,Upper 80 PI,2020,2877.8
Albania,Upper 80 PI,2100,1557.082
Albania,Lower 80 PI,2020,2877.8
Albania,Lower 80 PI,2100,659.46
Albania,Upper 95 PI,2020,2877.8
Albania,Upper 95 PI,2100,1768.459
Albania,Lower 95 PI,2020,2877.8
Albania,Lower 95 PI,2100,513.702
Algeria,Medium,2020,43851.043
Algeria,Medium,2100,70704.619
Algeria,High,2020,43851.043
Algeria,High,2100,98908.923
Algeria,Low,2020,43851.043
Algeria,Low,2100,48936.348
Algeria,Constant fertility,2020,43851.043
Algeria,Constant fertility,2100,129984.898
Algeria,Instant replacement,2020,43851.043
Algeria,Instant replacement,2100,65920.724
